id,artist,review_ids
401,antiguo autmata mexicano,['10307']
402,antimc,['6665']
403,anton fier,['3283']
404,antonionian,['15242']
405,antony and the johnsons,"['19954', '16902', '15349', '14748', '14579', '12596', '12295', '11655', '467']"
406,antwon,"['21837', '19262', '17838']"
407,aosoth,['17971']
408,apache beat,['14756']
409,apache dropout,"['19530', '16893']"
410,ape school,['12975']
411,apes,"['11528', '220', '219', '217', '218']"
412,apes & androids,['11309']
413,apes of wrath,['221']
414,apex manor,['15036']
415,aphex twin,"['22072', '20872', '20156', '19755', '227', '223', '225']"
416,apollo sunshine,"['12232', '404', '403']"
417,apostle of hustle,"['13018', '9858', '464']"
418,apparat,"['17624', '15836', '14794', '10515', '418', '417']"
419,appendix out,"['244', '245', '246']"
420,applescal,"['17718', '14163', '13406']"
421,appliance,['265']
422,applied communications,['477']
423,apsci,['439']
424,apse,"['13819', '12071']"
425,aqueduct,"['10011', '465']"
426,ar-2,['19270']
427,araabmuzik,"['22071', '19664', '18267', '17697', '16246', '15566']"
428,arab on radar,"['267', '268']"
429,arab strap,"['14566', '9737', '275', '270', '273', '274']"
430,arbor labor union,['21784']
431,arbouretum,"['17496', '15136', '12779', '9815', '460']"
432,arca,"['22093', '21231', '19836']"
433,arcade fire,"['18667', '14516', '9946', '453', '452']"
434,archer prewitt,"['6470', '6468', '6469', '6467']"
435,archers of loaf,"['17066', '16333', '15688', '278']"
436,archie bronson outfit,"['13985', '9089']"
437,archigram,['406']
438,architecture in helsinki,"['19178', '15271', '10579', '9835', '441', '440']"
439,archy marshall,['21326']
440,arco flute foundation,['280']
441,arctic monkeys,"['18386', '15450', '13374', '13014', '10150', '498', '497']"
442,arcwelder,['281']
443,area,['284']
444,argentinum astrum,['18975']
445,ariana grande,"['21892', '19765', '18591']"
446,ariel kalma,['19993']
447,ariel pink,"['19936', '18837']"
448,ariel pink's haunted graffiti,"['16936', '15848', '14324', '12909', '10966', '6555', '6554', '6553']"
449,arizona amp and alternator,['496']
450,arks,['10587']
451,arling and cameron,"['285', '286', '287']"
452,arlo,['289']
453,armand van helden,['8411']
454,arms,['13751']
455,army navy,"['15668', '12522']"
456,arne nordheim,['5879']
457,aroah,['294']
458,arovane,['296']
459,arp,"['19789', '18528', '14606', '11353']"
460,arrange,"['16807', '16159', '15534']"
461,art bears,['429']
462,art brut,"['17906', '15417', '12902', '10336', '475']"
463,art department,"['17734', '15361']"
464,art ensemble of chicago,['11643']
465,art in manila,['10514']
466,art of fighting,['300']
467,art of noise,"['15800', '9440', '301']"
468,artanker convoy,['10566']
469,arthur,['20112']
470,arthur & yu,['10416']
471,arthur brown,['1114']
472,arthur russell,"['21807', '20568', '16730', '12963', '12375', '10597', '9692', '9374', '6910', '6909', '6908', '6907']"
473,arthurs,['304']
474,arto lindsay,"['19347', '4805']"
475,arve henriksen,"['13379', '10212', '11836']"
476,as mercenrias,['492']
477,as tall as lions,"['13584', '9415']"
478,asa-chang & junray,"['306', '307']"
479,ascension,['20127']
480,asg,['18082']
481,ash,"['10550', '310', '309']"
482,ash borer,['17004']
483,ash koosha,['21766']
484,asher roth,['12931']
485,asheru & blue black,['422']
486,ashley monroe,['20813']
487,ashley park,['316']
488,asian dub foundation,"['320', '321']"
489,asmus tietchens,"['11852', '8238']"
490,asobi seksu,"['15073', '13685', '12685', '9150', '447']"
491,aspera,['324']
492,aspera ad astra,['4796']
493,asteroid no. 4,"['326', '325']"
494,astrobotnia,['327']
495,at the drive-in,"['17973', '330', '329']"
496,at the gates,['20022']
497,at war,['13381']
498,atari star,['331']
499,atari teenage riot,['15610']
500,ataxia,['449']
501,atelje,['20107']
502,aterciopelados,['12446']
503,athlete,"['10853', '445', '444']"
504,ativin,"['336', '335']"
505,atlantean kodex,['18543']
506,atlas sound,"['15998', '14996', '13619', '11160']"
507,atmosphere,"['22210', '19320', '15297', '14664', '12680', '11471', '11052', '344', '343', '342', '341', '340']"
508,atom and his package,['347']
509,atombombpocketknife,['346']
510,atoms for peace,['17632']
511,atriarch,"['19711', '17289']"
512,atticus ross,"['22270', '16180']"
513,au,"['16450', '13866', '11974', '10383', '2048']"
514,au revoir simone,"['18514', '14383', '13000', '12550', '9941', '9182']"
515,auburn lull,"['11586', '353', '352', '351']"
516,audacity,['18619']
517,audio bullys,"['355', '354']"
518,audio push,['21825']
519,audion,"['21991', '18899', '488']"
520,audionom,['9844']
521,audioslave,"['357', '356']"
522,aufgang,['13875']
523,augie march,"['9079', '463']"
524,august alsina,['21341']
525,august born,['484']
526,augustus pablo,['6124']
527,aurelio,['15133']
528,ausmuteants,['19025']
529,austra,"['18195', '15434']"
530,autechre,"['22592', '21950', '18672', '17691', '15330', '14461', '14051', '11245', '368', '367', '364', '362', '360', '363', '361']"
531,auteurs,['370']
532,autistic daughters,['11394']
533,autolux,"['21747', '14540', '459']"
534,automato,['446']
535,autour de lucie,['376']
536,autre ne veut,"['21044', '17645', '15701', '14925']"
537,ava luna,"['20453', '19061', '16419']"
